paraphrase_pair_id	Short Utterance (1)	Short Utterance (2)	Exact_paraphrase_or_not(1)	Exact_paraphrase_or_not(2)	Both annotations are same	Either annotated ‘yes’
1	this is where i start having my problems with my company	this is where i start having issues with my company	y	y	1	1
2	this is where i start having issues with my company	this is where my problems begin	n	n	1	0
3	this is where i start having my problems with my company	this is where my problems begin	n	n	1	0
4	there are some long range goals we could discuss	we could talk about long range goals	y	y	1	1
5	we could talk about some of the long range goals	there are some long range goals we could discuss	y	y	1	1
6	we could talk about some of the long range goals	we could talk about long range goals	y	n	0	1
7	we have seen that movie at least six times in the last six months	we saw that movie six times in the last six months	n	n	1	0
8	we seen that movie probably six times in the last six months	we have seen that movie at least six times in the last six months	n	n	1	0
9	we seen that movie probably six times in the last six months	we saw that movie six times in the last six months	n	n	1	0
10	in the middle of having both generations you feel squeezed	you are in the middle of two generations	n	n	1	0
11	you feel squeezed in the middle of having both generations	in the middle of having both generations you feel squeezed	y	y	1	1
12	you feel squeezed in the middle of having both generations	you are in the middle of two generations	n	n	1	0
13	you going to get ten or fifteen bucks for it	you get ten or fifteen bucks for it	y	y	1	1
14	you get ten or fifteen bucks for it	you will get between ten and fifteen dollars for it	n	y	0	1
15	you going to get ten or fifteen bucks for it	you will get between ten and fifteen dollars for it	y	y	1	1
16	do you get any kind of health care type stuff	do you get any kind of medical care	n	y	0	1
17	do you get any kind of health care type stuff	do you get anything related to health care	y	y	1	1
18	do you get any kind of medical care	do you get anything related to health care	y	n	0	1
19	do you want to hear about my other animals i had	do you want to hear about my animals	n	n	1	0
20	do you want to hear about my animals	do you want to learn more about my other animals	n	n	1	0
21	do you want to hear about my other animals i had	do you want to learn more about my other animals	n	n	1	0
22	do you work for a big or a little place	do you work for a big company	n	n	1	0
23	do you work for a big company	do you work for a big place or a small place	y	n	0	1
24	do you work for a big or a little place	do you work for a big place or a small place	y	y	1	1
25	a lot of education aid has gone to trade schools	a lot of education aid went to trade schools	y	y	1	1
