mean_wordRank	placeholder1	KWORD	PhER	per_uniq_phonemes	Noise_ID	WER	ChER	mean_nPhonemes	Short Utterance	placeholder3	ppl	STOI	mean_nChars	ph_len	per_uniq_chars	total_nChars	placeholder2	paraphrase_pair_id
10214.2	102	1	1	0.629	0	1	1	3.5	this is where i start having issues with my company	output_paraphrases	85.697509765625	0.826521012943679	4.2	35	0.071	42	2384	1
10234.364	102	1	0.991666666666667	0.537	0	0.985	0.993333333333333	3.727	this is where i start having my problems with my company	input_phrase	90.8816146850586	0.84080684852331	4.182	41	0.065	46	2384	1
10214.2	102	1	1	0.629	0	1	1	3.5	this is where i start having issues with my company	output_paraphrases	85.697509765625	0.826521012943679	4.2	35	0.071	42	2384	2
10171.667	102	1	1	0.696	0	1	1	3.833	this is where my problems begin	output_paraphrases	109.45246887207	0.819556618939143	4.333	23	0.115	26	2386	2
10234.364	102	1	0.991666666666667	0.537	0	0.985	0.993333333333333	3.727	this is where i start having my problems with my company	input_phrase	90.8816146850586	0.84080684852331	4.182	41	0.065	46	2384	3
10171.667	102	1	1	0.696	0	1	1	3.833	this is where my problems begin	output_paraphrases	109.45246887207	0.819556618939143	4.333	23	0.115	26	2386	3
9827	104	0.916666666666667	0.931666666666666	0.733	0	0.908333333333333	0.916666666666667	3.333	there are some long range goals we could discuss	output_paraphrases	144.239562988281	0.829836210859516	4.444	30	0.075	40	2439	4
9945.429	104	0.945	0.933333333333334	0.826	0	0.905	0.928333333333333	3.286	we could talk about long range goals	output_paraphrases	88.2468795776367	0.848290073439268	4.286	23	0.1	30	2444	4
9827	104	0.916666666666667	0.931666666666666	0.733	0	0.908333333333333	0.916666666666667	3.333	there are some long range goals we could discuss	output_paraphrases	144.239562988281	0.829836210859516	4.444	30	0.075	40	2439	5
10070.6	104	0.945	0.995	0.767	0	0.983333333333333	0.991666666666667	3	we could talk about some of the long range goals	input_phrase	53.0012969970703	0.842622831485003	3.9	30	0.077	39	2439	5
9945.429	104	0.945	0.933333333333334	0.826	0	0.905	0.928333333333333	3.286	we could talk about long range goals	output_paraphrases	88.2468795776367	0.848290073439268	4.286	23	0.1	30	2444	6
10070.6	104	0.945	0.995	0.767	0	0.983333333333333	0.991666666666667	3	we could talk about some of the long range goals	input_phrase	53.0012969970703	0.842622831485003	3.9	30	0.077	39	2439	6
10164.5	106	1	0.961666666666667	0.391	0	0.871666666666667	0.908333333333333	3.286	we have seen that movie at least six times in the last six months	output_paraphrases	16.4177055358887	0.82370569927614	3.714	46	0.058	52	2459	7
10133.182	106	1	0.96	0.5	0	0.85	0.893333333333333	3.273	we saw that movie six times in the last six months	output_paraphrases	25.9954738616943	0.814553026384008	3.636	36	0.075	40	2461	7
10164.5	106	1	0.961666666666667	0.391	0	0.871666666666667	0.908333333333333	3.286	we have seen that movie at least six times in the last six months	output_paraphrases	16.4177055358887	0.82370569927614	3.714	46	0.058	52	2459	8
10122.583	106	0.5	0.958333333333333	0.467	0	0.763333333333333	0.896666666666667	3.75	we seen that movie probably six times in the last six months	input_phrase	25.5883750915527	0.833752791466741	4.083	45	0.061	49	2459	8
10133.182	106	1	0.96	0.5	0	0.85	0.893333333333333	3.273	we saw that movie six times in the last six months	output_paraphrases	25.9954738616943	0.814553026384008	3.636	36	0.075	40	2461	9
