filename.1	Short Utterance	challengelevel	Response
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0	if you put 6% they match up to 6%
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0	if you put 6 percent they match up to 6 percent
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0	if you XXX 6 percent they match up to 6 percent
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0	If you put 6 %, they match up to 6%.
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0	If you put six percent they match up to six percent.
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0	if you put 6% they match up to 6%
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_961.wav	i heard of a couple of companies that have done that	ne_0	i've heard of a couple of companies that have done that
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_961.wav	i heard of a couple of companies that have done that	ne_0	I heard of a couple of company's that have done that
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_961.wav	i heard of a couple of companies that have done that	ne_0	i heard of a couple of companies that have done that
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_961.wav	i heard of a couple of companies that have done that	ne_0	I heard of a couple of companies that have done that.
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_961.wav	i heard of a couple of companies that have done that	ne_0	I heard of a couple of companies that have done that.
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_961.wav	i heard of a couple of companies that have done that	ne_0	i heard of a couple of companies that have done that
1637160114511002659_sent_int_pegasus_noisy_babble_5_utt_930.wav	these kids are just in a day care center all day	ne_0	these kids are just in the day care centre all day
1637160114511002659_sent_int_pegasus_noisy_babble_5_utt_930.wav	these kids are just in a day care center all day	ne_0	These kids are just in a daycare centre all day
1637160114511002659_sent_int_pegasus_noisy_babble_5_utt_930.wav	these kids are just in a day care center all day	ne_0	these kids are just in a day care centre all day
1637160114511002659_sent_int_pegasus_noisy_babble_5_utt_930.wav	these kids are just in a day care center all day	ne_0	These kids are just in a daycare centre all day.
1637160114511002659_sent_int_pegasus_noisy_babble_5_utt_930.wav	these kids are just in a day care center all day	ne_0	These kids are just in a daycare centre all day.
1637160114511002659_sent_int_pegasus_noisy_babble_5_utt_930.wav	these kids are just in a day care center all day	ne_0	these kids are just in a daycare center all day
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_610.wav	i do blame it on the teachers in the school	ne_0	i do blame it on the teachers in the school
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_610.wav	i do blame it on the teachers in the school	ne_0	I do blame it on the teachers in the school
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_610.wav	i do blame it on the teachers in the school	ne_0	i do blame it on the teachers in the school
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_610.wav	i do blame it on the teachers in the school	ne_0	I do blame it on the teachers in the school.
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_610.wav	i do blame it on the teachers in the school	ne_0	I do blame it on the teachers in the school.
1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_610.wav	i do blame it on the teachers in the school	ne_0	i do blame it on the teachers in the school
1637160114511002659_sent_int_pegasus_noisy_babble_5_utt_805.wav	the first three days i was glued to the television	ne_0	the first 3 days i was glued to the television
