mean_wordRank	placeholder1	KWORD	PhER	per_uniq_phonemes	Noise_ID	WER	ChER	mean_nPhonemes	Short Utterance	placeholder3	ppl	STOI	mean_nChars	ph_len	per_uniq_chars	total_nChars	placeholder2	paraphrase_pair_id	exact_paraphrase_pid
10214.2	102	1	1	0.629	0	1	1	3.5	this is where i start having issues with my company	output_paraphrases	85.69750977	0.8265210129	4.2	35	0.071	42	2384	1	1
10234.364	102	1	0.9916666667	0.537	0	0.985	0.9933333333	3.727	this is where i start having my problems with my company	input_phrase	90.88161469	0.8408068485	4.182	41	0.065	46	2384	1	1
9827	104	0.9166666667	0.9316666667	0.733	0	0.9083333333	0.9166666667	3.333	there are some long range goals we could discuss	output_paraphrases	144.239563	0.8298362109	4.444	30	0.075	40	2439	4	4
9945.429	104	0.945	0.9333333333	0.826	0	0.905	0.9283333333	3.286	we could talk about long range goals	output_paraphrases	88.24687958	0.8482900734	4.286	23	0.1	30	2444	4	4
9827	104	0.9166666667	0.9316666667	0.733	0	0.9083333333	0.9166666667	3.333	there are some long range goals we could discuss	output_paraphrases	144.239563	0.8298362109	4.444	30	0.075	40	2439	5	5
10070.6	104	0.945	0.995	0.767	0	0.9833333333	0.9916666667	3	we could talk about some of the long range goals	input_phrase	53.001297	0.8426228315	3.9	30	0.077	39	2439	5	5
9945.429	104	0.945	0.9333333333	0.826	0	0.905	0.9283333333	3.286	we could talk about long range goals	output_paraphrases	88.24687958	0.8482900734	4.286	23	0.1	30	2444	6	6
10070.6	104	0.945	0.995	0.767	0	0.9833333333	0.9916666667	3	we could talk about some of the long range goals	input_phrase	53.001297	0.8426228315	3.9	30	0.077	39	2439	6	6
9333.1	112	0.9583333333	0.9783333333	0.692	0	0.9833333333	0.98	3.9	in the middle of having both generations you feel squeezed	output_paraphrases	577.0331421	0.7905206011	4.9	39	0.061	49	2581	11	11
9333.1	112	1	1	0.692	0	1	1	3.9	you feel squeezed in the middle of having both generations	input_phrase	411.2819519	0.8136046049	4.9	39	0.061	49	2581	11	11
9252.5	114	1	0.96	0.6	0	0.75	0.6766666667	3.125	you get ten or fifteen bucks for it	output_paraphrases	90.39591217	0.8281328293	3.5	25	0.107	28	2602	13	13
9469.4	114	0.875	0.9733333333	0.548	0	0.8	0.7933333333	3.1	you going to get ten or fifteen bucks for it	input_phrase	60.57607269	0.8056983506	3.5	31	0.086	35	2602	13	13
9252.5	114	1	0.96	0.6	0	0.75	0.6766666667	3.125	you get ten or fifteen bucks for it	output_paraphrases	90.39591217	0.8281328293	3.5	25	0.107	28	2602	14	14
9809.3	114	1	1	0.528	0	0.9	0.88	3.6	you will get between ten and fifteen dollars for it	output_paraphrases	43.72455215	0.8076196678	4.2	36	0.071	42	2605	14	14
9469.4	114	0.875	0.9733333333	0.548	0	0.8	0.7933333333	3.1	you going to get ten or fifteen bucks for it	input_phrase	60.57607269	0.8056983506	3.5	31	0.086	35	2602	15	15
9809.3	114	1	1	0.528	0	0.9	0.88	3.6	you will get between ten and fifteen dollars for it	output_paraphrases	43.72455215	0.8076196678	4.2	36	0.071	42	2605	15	15
10101.3	12	0.7066666667	0.9283333333	0.633	0	0.75	0.9216666667	3	do you get any kind of health care type stuff	input_phrase	75.54676056	0.8799168877	3.6	30	0.083	36	286	16	16
10207.75	12	1	1	0.577	0	1	1	3.25	do you get any kind of medical care	output_paraphrases	55.82216644	0.8644223906	3.5	26	0.107	28	286	16	16
10101.3	12	0.7066666667	0.9283333333	0.633	0	0.75	0.9216666667	3	do you get any kind of health care type stuff	input_phrase	75.54676056	0.8799168877	3.6	30	0.083	36	286	17	17
10114.875	12	0.945	1	0.552	0	0.9583333333	1	3.625	do you get anything related to health care	output_paraphrases	89.10391998	0.8298922951	4.375	29	0.086	35	288	17	17
